arquivo_origem;titulo;menu_principal;submenu;tipo;extensao;publicar;observacoes
chapeuzinho.mp3;Chapeuzinho Vermelho;Histórias Infantis;Contos Clássicos;audio;mp3;Sim;Exemplo de história infantil
musica_cores.mp3;As Cores do Arco-Íris;Jukebox do Fefo;Educativo;audio;mp3;Sim;Música para ensinar cores
rostinho_feliz.png;Fefo Feliz;Faces;Expressões;face;png;Sim;Face do Fefo sorrindo (480x320)
video_demonstrativo.mp4;Apresentação do Fefo;Vídeos;Demonstração;video;mp4;Sim;Vídeo demonstrativo para o app
Conhecendo os animais - Cabra - Você sabia_.wav;Cabra;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Cachorro - Você sabia_.wav;Cachorro;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Capivara - Você sabia_.wav;Capivara;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Cavalo - Você sabia_.wav;Cavalo;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Coelho - Você sabia_.wav;Coelho;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Coruja - Você sabia_.wav;Coruja;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Galinha - Você sabia_.wav;Galinha;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Gato - Você sabia_.wav;Gato;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Girafa - Você sabia_.wav;Girafa;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Jacaré - Você sabia_.wav;Jacaré;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Leão - Você sabia_.wav;Leão;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Lobo - Você sabia_.wav;Lobo;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Macaco - Você sabia_.wav;Macaco;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Onça - Você sabia_.wav;Onça;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Ovelha - Você sabia_.wav;Ovelha;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Porco - Você sabia_.wav;Porco;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Rato - Você sabia_.wav;Rato;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Tamanduá - Você sabia_.wav;Tamanduá;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Urso - Você sabia_.wav;Urso;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
Conhecendo os animais - Vaca - Você sabia_.wav;Vaca;Conhecendo os animais;;audio;wav;Sim;Áudio educativo sobre animais
